Tabel 1
Ploeg;Renner;Waarde;PCSNamen;
Solution Tech - Vini Fantini;CONTI V.;2;CONTI Valerio;
Solution Tech - Vini Fantini;DURIC D.;2;BEULLENS Cedric;
Solution Tech - Vini Fantini;FORTIN F.;2;FORTIN Filippo;
Solution Tech - Vini Fantini;GONZALEZ R.;2;GONZÁLEZ Abner;
Solution Tech - Vini Fantini;IACCHI A.;2;IACCHI Alessandro;
Solution Tech - Vini Fantini;MEO F.;2;ROMEO Iván;
Solution Tech - Vini Fantini;NENCINI T.;2;NENCINI Tommaso;
Solution Tech - Vini Fantini;PIRAS A.;2;PIRAS Andrea;
Solution Tech - Vini Fantini;QUARTUCCI L.;2;QUARTUCCI Lorenzo;
Solution Tech - Vini Fantini;RAJOVIC D.;2;RAJOVIĆ Dušan;
Solution Tech - Vini Fantini;ROLANDO J.;2;ROLANDO Joann;
Solution Tech - Vini Fantini;SAMUDIO C.;2;SAMUDIO Carlos;
Solution Tech - Vini Fantini;SBARAGLI K.;2;SBARAGLI Kristian;
Solution Tech - Vini Fantini;STEWART M.;2;STEWART Jake;
Solution Tech - Vini Fantini;TISSIERES A.;2;TISSIÈRES Arnaud;
Solution Tech - Vini Fantini;TSARENKO K.;2;TSARENKO Kyrylo;
Solution Tech - Vini Fantini;VERRANDO L.;2;VERRANDO Luca;
Solution Tech - Vini Fantini;VIVIANI A.;2;VIVIANI Attilio;
Soudal - Quick Step;EVENEPOEL R.;10;EVENEPOEL Remco;
Soudal - Quick Step;MERLIER T.;8;MERLIER Tim;
Soudal - Quick Step;MAGNIER P.;5;MAGNIER Paul;
Soudal - Quick Step;VANSEVENANT M.;5;VANSEVENANT Mauri;
Soudal - Quick Step;LAMPAERT Y.;4;LAMPAERT Yves;
Soudal - Quick Step;LAMPERTI L.;4;LAMPERTI Luke;
Soudal - Quick Step;LANDA M.;4;LANDA Mikel;
Soudal - Quick Step;SCHACHMANN M.;4;SCHACHMANN Maximilian;
Soudal - Quick Step;VAN GESTEL D.;4;VAN GESTEL Dries;
Soudal - Quick Step;VAN WILDER I.;4;VAN WILDER Ilan;
Soudal - Quick Step;CATTANEO M.;3;CATTANEO Mattia;
Soudal - Quick Step;EENKHOORN P.;3;EENKHOORN Pascal;
Soudal - Quick Step;HAYTER E.;3;HAYTER Ethan;
Soudal - Quick Step;LECERF J.;3;LECERF Junior;
Soudal - Quick Step;PARET-PEINTRE V.;3;PARET-PEINTRE Aurélien;
Soudal - Quick Step;PEDERSEN C.;3;PEDERSEN Rasmus Søjberg;
Soudal - Quick Step;VAN LERBERGHE B.;3;VAN LERBERGHE Bert;
Soudal - Quick Step;VANGHELUWE W.;3;VANGHELUWE Warre;
Soudal - Quick Step;BASTIAENS A.;2;BASTIAENS Ayco;
Soudal - Quick Step;CERNY J.;2;VAN HEMELEN Vincent;
Soudal - Quick Step;GAROFOLI G.;2;GAROFOLI Gianmarco;
Soudal - Quick Step;GELDERS G.;2;GELDERS Gil;
Soudal - Quick Step;HUBY A.;2;HUBY Antoine;
Soudal - Quick Step;KNOX J.;2;KNOX James;
Soudal - Quick Step;RACCAGNI NOVIERO A.;2;RACCAGNI NOVIERO Andrea;
Soudal - Quick Step;REINDERINK P.;2;REINDERINK Pepijn;
Soudal - Quick Step;SERRY P.;2;SERRY Pieter;
Soudal - Quick Step;SVRCEK M.;2;SVRČEK Martin;
Soudal - Quick Step;VERVAEKE L.;2;VERVAEKE Louis;
Soudal - Quick Step;WARLOP J.;2;WARLOP Jordi;
Tarteletto - Isorex;DUPONT T.;3;DUPONT Timothy;
Tarteletto - Isorex;BAUWENS S.;2;BAUWENS Siebe;
Tarteletto - Isorex;BLOUWE L.;2;BLOUWE Louis;
Tarteletto - Isorex;CLAEYS R.;2;CLAEYS Robbe;
Tarteletto - Isorex;DE KEYSER E.;2;DE KEYSER Ewout;
Tarteletto - Isorex;DECOTTIGNIES J.;2;DECOTTIGNIES Jordy;
Tarteletto - Isorex;GODART B.;2;GODART Bo;
Tarteletto - Isorex;GOEMAN J.;2;GOEMAN Jonas;
Tarteletto - Isorex;MARCHAND G.;2;MARCHAND Gianni;
Tarteletto - Isorex;MUSEEUW S.;2;MUSEEUW Stefano;
Tarteletto - Isorex;RIGOLE B.;2;RIGOLE Brian;
Tarteletto - Isorex;SANTY A.;2;SANTY Arne;
Tarteletto - Isorex;STEVENS D.;2;STEVENS Daan;
Tarteletto - Isorex;TEUGELS L.;2;TEUGELS Lennert;
Tarteletto - Isorex;VANDENBULCKE A.;2;VANDENBULCKE Alex;
Tarteletto - Isorex;VERWILT M.;2;VERWILT Mauro;
TotalEnergies;JEANNIERE E.;4;JEANNIÈRE Emilien;
TotalEnergies;TESSON J.;4;TESSON Jason;
TotalEnergies;TURGIS A.;4;TURGIS Anthony;
TotalEnergies;CRAS S.;3;CRAS Steff;
TotalEnergies;GACHIGNARD T.;3;GACHIGNARD Thomas;
TotalEnergies;SOUPE G.;3;SOUPE Geoffrey;
TotalEnergies;BONIFACE L.;2;BONIFACE Lucas;
TotalEnergies;BONNET T.;2;BONNET Thomas;
TotalEnergies;BOULAHOITE R.;2;BOULAHOITE Rayan;
TotalEnergies;BRUNEL A.;2;BRUNEL Alexys;
TotalEnergies;BURGAUDEAU M.;2;BURGAUDEAU Mathieu;
TotalEnergies;DAUPHIN F.;2;DAUPHIN Florian;
TotalEnergies;DELBOVE J.;2;DELBOVE Joris;
TotalEnergies;DELETTRE A.;2;DELETTRE Alexandre;
TotalEnergies;DOUBEY F.;2;DOUBEY Fabien;
TotalEnergies;DUJARDIN S.;2;DUJARDIN Sandy;
TotalEnergies;GRELLIER F.;2;GRELLIER Fabien;
TotalEnergies;JEGAT J.;2;JEGAT Jordan;
TotalEnergies;JOUSSEAUME A.;2;JOUSSEAUME Alan;
TotalEnergies;LATOUR P.;2;LATOUR Pierre;
TotalEnergies;LEROUX S.;2;LEROUX Samuel;
TotalEnergies;MANZIN L.;2;MANZIN Lorrenzo;
TotalEnergies;MARCEROU N.;2;MARCEROU Nicola;
TotalEnergies;RETAILLEAU V.;2;RETAILLEAU Valentin;
TotalEnergies;VADIC B.;2;VADIC Baptiste;
TotalEnergies;VERCHER M.;2;VERCHER Mattéo;
Tudor;HIRSCHI M.;7;HIRSCHI Marc;
Tudor;ALAPHILIPPE J.;6;ALAPHILIPPE Julian;
Tudor;DAINESE A.;5;DAINESE Alberto;
Tudor;DE KLEIJN A.;5;DE KLEIJN Arvid;
Tudor;TRENTIN M.;5;TRENTIN Matteo;
Tudor;BRENNER M.;3;BRENNER Marco;
Tudor;HALLER M.;3;HALLER Marco;
Tudor;MAYRHOFER M.;3;MAYRHOFER Marius;
Tudor;STORER M.;3;STORER Michael;
Tudor;ZIJLAARD M.;3;ZIJLAARD Maikel;
Tudor;ERIKSSON J.;2;ERIKSSON Lucas;
Tudor;ERIKSSON L.;2;ERIKSSON Lucas;
Tudor;FROIDEVAUX R.;2;FROIDEVAUX Robin;
Tudor;HEMING M.;2;HEMING Miká;
Tudor;KELEMEN P.;2;KELEMEN Petr;
Tudor;KLUCKERS A.;2;KLUCKERS Arthur;
Tudor;KOLZE CHANGIZI S.;2;KOLZE CHANGIZI Sebastian;
Tudor;KRIEGER A.;2;KRIEGER Alexander;
Tudor;LIENHARD F.;2;LIENHARD Fabian;
Tudor;MIKUTIS A.;2;MIKUTIS Aivaras;
Tudor;PLUIMERS R.;2;PLUIMERS Rick;
Tudor;RONDEL M.;2;RONDEL Mathys;
Tudor;STORK F.;2;STORK Florian;
Tudor;SUTER J.;2;SUTER Joel;
Tudor;THALMANN R.;2;THALMANN Roland;
Tudor;VOISARD Y.;2;VOISARD Yannis;
Tudor;WARBASSE L.;2;WARBASSE Larry;
Tudor;WEISS F.;2;WEISS Fabian;
Tudor;WILKSCH H.;2;WILKSCH Hannes;
Tudor;WIRTGEN L.;2;WIRTGEN Luc;
UAE;POGACAR T.;13;POGAČAR Tadej;
UAE;POLITT N.;7;POLITT Nils;
UAE;WELLENS T.;7;WELLENS Tim;
UAE;NARVAEZ J.;6;NARVÁEZ Jhonatan;
UAE;ALMEIDA J.;5;ALMEIDA João;
UAE;AYUSO J.;5;AYUSO Juan;
UAE;CHRISTEN J.;5;CHRISTEN Fabio;
UAE;DEL TORO I.;5;DEL TORO Isaac;
UAE;MORGADO A.;5;MORGADO António;
UAE;YATES A.;5;YATES Adam;
UAE;BJERG M.;4;BJERG Mikkel;
UAE;MCNULTY B.;4;MCNULTY Brandon;
UAE;MOLANO J.;4;MOLANO Juan Sebastián;
UAE;SIVAKOV P.;4;SIVAKOV Pavel;
UAE;SOLER M.;4;SOLER Marc;
UAE;VERMEERSCH F.;4;VERMEERSCH Gianni;
UAE;VINE J.;4;IRVINE Declan;
UAE;BARONCINI F.;3;BARONCINI Filippo;
UAE;COVI A.;3;COVI Alessandro;
UAE;Grossschartner;3;GROßSCHARTNER Felix;
UAE;HERREGODTS R.;3;HERREGODTS Rune;
UAE;MAJKA R.;3;MAJKA Rafał;
UAE;OLIVEIRA R.;3;OLIVEIRA Nelson;
UAE;TORRES P.;3;TORRES Albert;
UAE;ARRIETA I.;2;ARRIETA Igor;
UAE;JOHANSEN J.;2;JOHANSEN Julius;
UAE;LAENGEN V.;2;LAENGEN Vegard Stake;
UAE;NOVAK D.;2;NOVAK Domen;
UAE;OLIVEIRA I.;2;OLIVEIRA Nelson;
Unibet - Tietema Rockets;BOMBOI D.;3;BOMBOI Davide;
Unibet - Tietema Rockets;EIKING O.;3;EIKING Odd Christian;
Unibet - Tietema Rockets;JOHANNINK J.;3;JOHANNINK Jelle;
Unibet - Tietema Rockets;BLOEM J.;2;BLOEM Joren;
Unibet - Tietema Rockets;BUDDING M.;2;BUDDING Martijn;
Unibet - Tietema Rockets;CARBONI G.;2;CARBONI Giovanni;
Unibet - Tietema Rockets;CHRISTOPHERSEN C.;2;CHRISTOPHERSEN Cedrik Bakke;
Unibet - Tietema Rockets;DE VRIES H.;2;DE VRIES Hartthijs;
Unibet - Tietema Rockets;GELEIJN O.;2;GELEIJN Owen;
Unibet - Tietema Rockets;HUENS A.;2;HUENS Axel;
Unibet - Tietema Rockets;HUYET B.;2;HUYET Baptiste;
Unibet - Tietema Rockets;INKELAAR K.;2;INKELAAR Kevin;
Unibet - Tietema Rockets;KOPECKY T.;2;KOPECKÝ Matyáš;
Unibet - Tietema Rockets;KUBIS L.;2;MIKUTIS Aivaras;
Unibet - Tietema Rockets;KYFFIN Z.;2;KYFFIN Zeb;
Unibet - Tietema Rockets;LOOCKX L.;2;LOOCKX Lander;
Unibet - Tietema Rockets;MAIRE A.;2;MAIRE Adrien;
Unibet - Tietema Rockets;MERIS S.;2;MERIS Sergio;
Unibet - Tietema Rockets;MOURIS W.;2;MOURIS Wessel;
Unibet - Tietema Rockets;NIELSEN S.;2;NIELSEN Sebastian;
Unibet - Tietema Rockets;PAIGE C.;2;PAIGE Charles;
Unibet - Tietema Rockets;STOCKMAN A.;2;STOCKMAN Abram;
Unibet - Tietema Rockets;STOKBRO A.;2;STOKBRO Andreas;
Unibet - Tietema Rockets;TOUPALIK A.;2;ŤOUPALÍK Adam;
Unibet - Tietema Rockets;VERSCHUREN K.;2;VERSCHUREN Killian;
Uno-X Mobility;KRISTOFF A.;5;KRISTOFF Alexander;
Uno-X Mobility;ABRAHAMSEN J.;4;ABRAHAMSEN Jonas;
Uno-X Mobility;CORT M.;4;GARCÍA CORTINA Iván;
Uno-X Mobility;JOHANNESSEN T.;4;JOHANNESSEN Tobias Halland;
Uno-X Mobility;KRON A.;4;KRON Andreas;
Uno-X Mobility;TILLER R.;4;TILLER Rasmus;
Uno-X Mobility;WAERENSKJOLD S.;4;WÆRENSKJOLD Søren;
Uno-X Mobility;BLIKRA E.;3;BLIKRA Erlend;
Uno-X Mobility;FREDHEIM S.;3;FREDHEIM Stian;
Uno-X Mobility;HOELGAARD M.;3;HOELGAARD Markus;
Uno-X Mobility;LEKNESSUND A.;3;LEKNESSUND Andreas;
Uno-X Mobility;BEVORT C.;2;BÉVORT Carl-Frederik;
Uno-X Mobility;BLUME LEVY W.;2;BLUME LEVY William;
Uno-X Mobility;DALBY S.;2;DALBY Simon;
Uno-X Mobility;DVERSNES F.;2;DVERSNES Fredrik;
Uno-X Mobility;HOLTER A.;2;HOLTER Ådne;
Uno-X Mobility;HVIDEBERG J.;2;HVIDEBERG Jonas Iversby;
Uno-X Mobility;JANSEN A.;2;JANSEN Amund Grøndahl;
Uno-X Mobility;JOHANNESSEN A.;2;JOHANNESSEN Tobias Halland;
Uno-X Mobility;KULSET J.;2;KULSET Johannes;
Uno-X Mobility;KULSET M.;2;KULSET Johannes;
Uno-X Mobility;LOLAND S.;2;O'BRIEN Kelland;
Uno-X Mobility;PEDERSEN H.;2;PEDERSEN Rasmus Søjberg;
Uno-X Mobility;RESELL E.;2;RESELL Erik Nordsæter;
Uno-X Mobility;SKAARSETH A.;2;SKAARSETH Anders;
Uno-X Mobility;URIANSTAD BUGGE M.;2;URIANSTAD BUGGE Martin;
Uno-X Mobility;WALLIN R.;2;WALLIN Rasmus Bøgh;
VF Group - Bardiani CSF - Faizanè;FIORELLI F.;3;FIORELLI Filippo;
VF Group - Bardiani CSF - Faizanè;BIAGINI F.;2;BIAGINI Federico;
VF Group - Bardiani CSF - Faizanè;CETTOLIN F.;2;CETTOLIN Filippo;
VF Group - Bardiani CSF - Faizanè;COLNAGHI L.;2;COLNAGHI Luca;
VF Group - Bardiani CSF - Faizanè;CONFORTI L.;2;CONFORTI Lorenzo;
VF Group - Bardiani CSF - Faizanè;COVILI L.;2;COVILI Luca;
VF Group - Bardiani CSF - Faizanè;CRUZ E.;2;DE LA CRUZ David;
VF Group - Bardiani CSF - Faizanè;FERRARO S.;2;FERRARO Santiago;
VF Group - Bardiani CSF - Faizanè;HERRENO M.;2;HERREGODTS Rune;
VF Group - Bardiani CSF - Faizanè;MAGLI F.;2;MAGLI Filippo;
VF Group - Bardiani CSF - Faizanè;MARCELLUSI M.;2;MARCELLUSI Martin;
VF Group - Bardiani CSF - Faizanè;MARTINELLI A.;2;MARTINELLI Alessio;
VF Group - Bardiani CSF - Faizanè;MONTAGNER A.;2;MONTAGNER Andrea;
VF Group - Bardiani CSF - Faizanè;PALETTI L.;2;PALETTI Luca;
VF Group - Bardiani CSF - Faizanè;PINARELLO A.;2;PINARELLO Alessandro;
VF Group - Bardiani CSF - Faizanè;PINAZZI M.;2;PINAZZI Mattia;
VF Group - Bardiani CSF - Faizanè;ROJAS V.;2;ROJAS Vicente;
VF Group - Bardiani CSF - Faizanè;SCALCO M.;2;SCALCO Matteo;
VF Group - Bardiani CSF - Faizanè;STENICO M.;2;STENICO Mattia;
VF Group - Bardiani CSF - Faizanè;TAROZZI M.;2;TAROZZI Manuele;
VF Group - Bardiani CSF - Faizanè;TOLIO A.;2;TOLIO Alex;
VF Group - Bardiani CSF - Faizanè;TURCONI F.;2;TURCONI Filippo;
VF Group - Bardiani CSF - Faizanè;ZANONCELLO E.;2;ZANONCELLO Enrico;
Visma - Lease a Bike;VAN AERT W.;11;VAN AERT Wout;
Visma - Lease a Bike;JORGENSON M.;8;JORGENSON Matteo;
Visma - Lease a Bike;BENOOT T.;7;BENOOT Tiesj;
Visma - Lease a Bike;KOOIJ O.;7;KOOIJ Olav;
Visma - Lease a Bike;LAPORTE C.;7;LAPORTE Christophe;
Visma - Lease a Bike;VINGEGAARD J.;6;VINGEGAARD Jonas;
Visma - Lease a Bike;KUSS S.;5;KUSS Sepp;
Visma - Lease a Bike;VAN BAARLE D.;5;VAN BAARLE Dylan;
Visma - Lease a Bike;YATES S.;5;YATES Adam;
Visma - Lease a Bike;CAMPENAERTS V.;4;CAMPENAERTS Victor;
Visma - Lease a Bike;KELDERMAN W.;4;KELDERMAN Wilco;
Visma - Lease a Bike;MCLAY D.;4;MCLAY Daniel;
Visma - Lease a Bike;TULETT B.;4;TULETT Ben;
Visma - Lease a Bike;UIJTDEBROEKS C.;4;UIJTDEBROEKS Cian;
Visma - Lease a Bike;VALTER A.;4;VALTER Attila;
Visma - Lease a Bike;ZINGLE A.;4;ZINGLE Axel;
Visma - Lease a Bike;AFFINI E.;3;AFFINI Edoardo;
Visma - Lease a Bike;BEHRENS N.;3;BEHRENS Niklas;
Visma - Lease a Bike;BRENNAN M.;3;BRENNAN Matthew;
Visma - Lease a Bike;HAGENES P.;3;HAGENES Per Strand;
Visma - Lease a Bike;KRUIJSWIJK S.;3;KRUIJSWIJK Steven;
Visma - Lease a Bike;LEMMEN B.;3;LEMMEN Bart;
Visma - Lease a Bike;NORDHAGEN J.;3;NORDHAGEN Jørgen;
Visma - Lease a Bike;VAN DER SANDE T.;3;VAN DER SANDE Tosh;
Visma - Lease a Bike;VERMOTE J.;3;VERMOTE Julien;
Visma - Lease a Bike;GLOAG T.;2;GLOAG Thomas;
Visma - Lease a Bike;GRAAT T.;2;GRAAT Tijmen;
Visma - Lease a Bike;HUISING M.;2;HUISING Menno;
Visma - Lease a Bike;VAN BELLE L.;2;VAN BELLE Loe;
Wagner - Bazin;BARBIER P.;3;BARBIER Pierre;
Wagner - Bazin;REYNDERS J.;3;REYNDERS Jens;
Wagner - Bazin;VLIEGEN L.;3;VLIEGEN Loïc;
Wagner - Bazin;WEEMAES S.;3;WEEMAES Sasha;
Wagner - Bazin;BAGUELIN J.;2;BAGUELIN Jocelyn;
Wagner - Bazin;BEZZA Q.;2;BEZZA Quentin;
Wagner - Bazin;DE MEESTER L.;2;DE MEESTER Luca;
Wagner - Bazin;DE TIER F.;2;DE TIER Floris;
Wagner - Bazin;DESAL C.;2;DESAL Ceriel;
Wagner - Bazin;LAMBRECHT M.;2;LAMBRECHT Michiel;
Wagner - Bazin;MATTHYS L.;2;MATTHYS Louka;
Wagner - Bazin;MEENS J.;2;MEENS Johan;
Wagner - Bazin;PAPON V.;2;PAPON Victor;
Wagner - Bazin;PERSICO D.;2;PERSICO Davide;
Wagner - Bazin;PORTSMOUTH T.;2;PORTSMOUTH Tom;
Wagner - Bazin;RENARD-HAQUIN H.;2;RENARD-HAQUIN Henri-François;
Wagner - Bazin;TIZZA M.;2;TIZZA Marco;
Wagner - Bazin;VAN HAUTEGEM L.;2;VAN HAUTEGEM Leander;
Wagner - Bazin;VAN PETEGEM A.;2;VAN PETEGEM Axandre;
Wagner - Bazin;VAN ROOY K.;2;VAN ROOY Kenneth;
Wagner - Bazin;VERMOOTE J.;2;VERMOOTE Jelle;
Wagner - Bazin;VILLA G.;2;SEVILLA Diego Pablo;
XDS - Astana;BETTIOL A.;5;BETTIOL Alberto;
XDS - Astana;BALLERINI D.;4;BALLERINI Davide;
XDS - Astana;BOL C.;4;BOL Cees;
XDS - Astana;HIGUITA S.;4;HIGUITA Sergio;
XDS - Astana;KANTER M.;4;KANTER Max;
XDS - Astana;TEUNISSEN M.;4;TEUNISSEN Mike;
XDS - Astana;ULISSI D.;4;ULISSI Diego;
XDS - Astana;CHAMPOUSSIN C.;3;CHAMPOUSSIN Clément;
XDS - Astana;FEDOROV Y.;3;FEDOROV Yevgeniy;
XDS - Astana;GATE A.;3;GATE Aaron;
XDS - Astana;MALUCELLI M.;3;MALUCELLI Matteo;
XDS - Astana;MASNADA F.;3;MASNADA Fausto;
XDS - Astana;POELS W.;3;POELS Wout;
XDS - Astana;SCARONI C.;3;SCARONI Christian;
XDS - Astana;SCHELLING I.;3;SCHELLING Ide;
XDS - Astana;TEJADA H.;3;TEJADA Harold;
XDS - Astana;VELASCO S.;3;VELASCO Simone;
XDS - Astana;CHARMIG A.;2;CHARMIG Anthon;
XDS - Astana;CONCI N.;2;CONCI Nicola;
XDS - Astana;FORTUNATO L.;2;FORTUNATO Lorenzo;
XDS - Astana;GAZZOLI M.;2;GAZZOLI Michele;
XDS - Astana;KAJAMINI F.;2;KAJAMINI Florian Samuel;
XDS - Astana;KUZMIN A.;2;KUZMIN Anton;
XDS - Astana;LOPEZ H.;2;LÓPEZ Joseba;
XDS - Astana;MULUBRHAN H.;2;MULUBRHAN Henok;
XDS - Astana;ROMELE A.;2;ROMELE Alessandro;
XDS - Astana;SU H.;2;EPIS Giosuè;
XDS - Astana;TONEATTI D.;2;TONEATTI Davide;
XDS - Astana;VAN BEKKUM D.;2;VAN BEKKUM Darren;
XDS - Astana;VINOKUROV N.;2;VINOKUROV Nicolas;
